NHS_NUMBER,FAMILY_NAME,GIVEN_NAME,PREFIX,CONTACT_SYSTEM,CONTACT_VALUE,GENDER,DATE_OF_BIRTH
1234567890,SMITH,JOHN,MR,PHONE,0777777777,MALE,1999-09-09
1111111111,DOE,JANE,MISS,EMAIL,JDoe@outlook.com,FEMALE,2000-02-29
9449305552,CHISLETT,OCTAVIA,MS,EMAIL,octavia.chislett@example.com,FEMALE,2008-09-20
9449306621,SHIPPERBOTTOM,BERYL,MS,PHONE,07700 900077,FEMALE,2011-05-09
9449306613,ANDERTON,BRIAR,MR,EMAIL,briar.anderton@example.com,MALE,2009-02-15
9449306605,GILMAN,PERCY,MR,PHONE,+44 20 7946 0192,MALE,2011-01-28
9449306494,FLINDALL,RED,MR,EMAIL,red.flindall@example.com,MALE,2011-05-17
9449306583,FIELDING,MONTE,MR,PHONE,0161 496 0234,MALE,2008-05-21
9449306680,PHONANAN,GORE,MR,EMAIL,gore.phonanan@example.com,MALE,2011-06-14
9449306567,MCLEISH,JAMIE,MR,PHONE,+44 7700 900022,MALE,2011-05-28
